id,url,name,age,gender,cafe_cat,kid_approved,dog_approved,companion_cat,bonded_pair,single_cat,type,description,system_import_at
18576198,https://catcafebk.com/our-cats/?cat=18576198,Aeon,10 Years 5 Months , Female,False,False,False,True,False,True,Domestic Short Hair ,"Aeon is a gorgeous, chatty tortie girl with a big personality! She loves to play with her wand toys, and loves anything crinkly. If you’ve got a shoebox laying around, you can be sure to find her rolling around in it. Aeon loves to initiate pets by rubbing her face on your hand and calling out for you with her sweet voice. She sleeps at the foot of her fosters bed and has just started exploring the world of bedtime cuddles. She is a little particular about pets sometimes, but she will let you know with a gentle “no thank you”. Aeon is a bit timid about loud noises and would do best in a home with a quiet home without children or other pets. She takes a bit of time to come out of her shell, but she is well worth the wait!",2023-01-22 19:13:48+00:00
18949108,https://catcafebk.com/our-cats/?cat=18949108,Aioli & Dijon,4 Months 3 Days ,,False,True,True,False,True,False,Domestic Short Hair ,"Aioli & Dijon are full of zest and zing — whether it’s playing with each other or going wild with a wand toy.  Aioli (brown tabby) is as cute as a button, and even has a brown tabby spot that looks like a belly button. He’s fearless and is always ready to pounce on a new toy and  will always be the first to dig into a meal.  Dijon (grey and white) is slightly shyer, but she will never say no to a churu. She’s a master baker, expertly making biscuits and purring on her bed. Her favorite toy is a ribbon wand toy and she’s not afraid to show her brother who’s boss by hogging the food bowl sometimes.",2023-01-22 19:13:48+00:00
18049093,https://catcafebk.com/our-cats/?cat=18049093,Apollo & Artemis,1 Year 1 Month ,,False,True,True,False,True,False,Domestic Short Hair / Mixed ,"Apollo and Artemis are sweet and sassy teens ready to find their forever home. Apollo, the handsome grey and white tabby fellow, is generous with headbutts, boisterous, chatty and will do just about anything if treats are involved. He is definitely the brawn and swagger of this operation. Sweet Artemis, slightly more petite, black and white girlie with a gorgeous ink spot chin (her favorite skritch zone). While not as gregarious as her brother, Artemis is quite the clever girl and isn't about to let the boys push her around. She likes to carefully observe a situation before diving in. Treats both crunchy and churu tube go a long way in winning her over. They have both recently discovered the delight that is a cat tree and love watching birds and dragon flies from the window. With pink noses and toe beans, these kittens are two wonderful companions, sure to brighten whatever home they find themselves in. The only thing this bonded pair loves more than each other is other cats — they won over their foster's grumpy resident kitty in a matter of days.",2023-01-22 19:13:48+00:00
18844592,https://catcafebk.com/our-cats/?cat=18844592,Baby Shark,9 Months 7 Days , Female,False,False,False,False,False,False,Domestic Short Hair ,"Baby Shark is a sweet tuxedo who likes taking naps on soft beds, purring during long combing sessions, and swatting at wand toys. She loves scratches under her chin and behind her ears, and will reward you with loud, loving purrs and flashes of her belly. She gets along with other cats in her foster home, but because of her timid personality and sweet disposition, she would thrive in a quiet home where she can get the most care and attention. She is a low-key, trusting kitty that easily adapts to new environments and has a lot of love to give.",2023-01-22 19:13:48+00:00
18949086,https://catcafebk.com/our-cats/?cat=18949086,Bada & Pow,4 Months 19 Days , Male,False,True,True,False,True,False,Domestic Short Hair ,"Bada and Pow are two adorable, playful brothers. They absolutely love to explore and play with anything and everything. Bada is more cautious and shy and is a sweet sweet soul, while Pow is the explorer and adventurer. Pow does a great job at getting Bada out of his shell and the two can often be found wrestling and chasing one another around the apartment. When not busy exploring, they love pets and cuddles with their humans.",2023-01-22 19:13:48+00:00
18948728,https://catcafebk.com/our-cats/?cat=18948728,Bluto & Popeye,6 Months 0 Days ,,False,False,False,False,True,False,Domestic Short Hair ,"Popeye and Bluto are a very sweet, but shy pair of kittens. Popeye (black and white boy) pretends to be shy, but after he’s picked up and held, he starts to purr and won’t stop. His favorite way to sleep is with his chin resting over one of your arms. Bluto (tortoiseshell girl) can be picked up with no problems and settles into her fosters’ arms instantly. The longer you hold Bluto, the more she droops through your arms. She likes to sleep with her head hanging upside-down!",2023-01-22 19:13:48+00:00
17834315,https://catcafebk.com/our-cats/?cat=17834315,Bobsled,2 Years 10 Months , Male,False,False,False,False,False,False,Domestic Short Hair ,"Bobsled is turning into quite a spunky lovey gentleman. A tuxedo with white handlebar mustaches from the Bronx, he might look tough but he will melt you with his tiny meow and Puss-in-Boots eyes. Bobsled loves play hunting with the wire wand and toys on ribbons. He will even stalk a yoga mat inched along the ground with your toes! He gets creative -- pretending not to care, or hiding under a chair…and then he strikes! He loves treats and might accidentally scratch if he gets too excited, but he is nothing but love. Bobsled nurses adorably on soft blankets and perches atop boxes. He will sit with you but he's not a lap cat (yet) - he will lounge nearby and send you loving blink kisses. He likes being pet from the shoulders back - he isn't on board with ear scritches yet. Bob is quiet and non-aggressive and might benefit from a mellow similar-age or slightly older feline companion to show him the ropes. He gets agitated when he hears dogs and may not do well with one in the home. He may do well in a home with older children if they can respect his need for space. Bobsled is in need of an echocardiogram due to having a heart murmur and we'd be happy to arrange an appointment at our next rescue clinic.",2023-01-22 19:13:48+00:00
18458507,https://catcafebk.com/our-cats/?cat=18458507,Bonnie & Buddy,6 Months 16 Days , Female,False,False,False,False,True,False,Domestic Short Hair (short coat) ,"Buddy and Bonnie are brother and sister kittens. Buddy is very playful and loves to play with toys as well as with his sister. He is a sweet, affectionate boy who loves to eat! He is litter trained and will do well with an experienced pet owner. Bonnie is a sweet girl who loves to cuddle and play with mice and her brother. She is very affectionate, healthy and would do well with an experienced pet owner. She was rescued with her brother and they would like to find a loving home together. Buddy and Bonnie will have their first vet appointment on September 1 when they will receive their first vaccines, microchips and be tested for FIV/FeLV. Adopters will be required to get Buddy and Bonnie neutered and spayed with the assistance of the rescuer. *Courtesy Posting: This cat is being independently offered for adoption by a rescuer who is not a representative of BBAWC or Brooklyn Cat Cafe. The rescuer offering this cat is responsible for the content of this post and any medical records and vaccines. BBAWC and Brooklyn Cat Cafe cannot vouch for any information in this post. An adoption fee will be charged by the rescuer.",2023-01-22 19:13:48+00:00
18692203,https://catcafebk.com/our-cats/?cat=18692203,Brownie Bite,6 Years 11 Months , Male,False,True,False,True,False,True,Domestic Short Hair ,"Brownie Bite is a sweet and fluffy fellow. He loves to play, but will do it in a very relaxed way, often times lying down while attacking the string. He has such a cute, tiny meow that seems out of place for such a big guy! His favorite place to sit is at your feet, begging for love. Brownie Bite is dealing with some health issues that make him limp, but we’re working on getting him back into shape.",2023-01-22 19:13:48+00:00
18570518,https://catcafebk.com/our-cats/?cat=18570518,Buffy,2 Years 3 Months , Female,False,False,False,True,False,True,Domestic Short Hair ,"Buffy is a friendly tabby who enjoys exploring as well as taking long naps. She loves playing with toys, particularly wands and anything else with a string. Buffy will bring you her favorite ball(s) while you are in bed for a good game of fetch. She is comfortable with being picked up, but doesn’t like being held too long. She likes to roam around the home exploring every corner and climbing onto high places (think top of the refrigerator). Buffy is fond of treats, all shapes and sizes, as well as eating her meals on time and she’ll let you know if she’s hungry with some chirps. She seems pretty active and will likely do well in a home where she can get plenty of attention and may enjoy having a feline friend. She would most likely do best in a home with older children as she can still be a bit skittish and nip when scared, but she is making great progress and is a total delight.",2023-01-22 19:13:48+00:00
18578528,https://catcafebk.com/our-cats/?cat=18578528,Butterhead & Mesclun,8 Months 17 Days , Female,False,True,True,False,True,False,Domestic Short Hair ,"Mesclun and Butterhead are two active sisters who love to wrestle and climb on the cat tree. They’re always ready to play and are learning about how much scritches can be! When they’re not playing, they split their time exploring, kneading fleece, and taking adorable naps. Butterhead (black & white) will follow you around begging for scritches. She will reward you with lots of headbutts and brush against the leg. Mesclun is still not too sure about scritches, but if there is Churu involved, she will happily accept a pet or two. She is very curious and will be the first to explore a new area and is comfortable enjoying your company from a close distance. The pair enjoy long sessions with a cat dancer, pouncing on toy mice, cuddles and catnip. They both get along well with other cats and are looking for a patient family ready to help them continue practicing being brave.",2023-01-22 19:13:48+00:00
18956052,https://catcafebk.com/our-cats/?cat=18956052,Cassave & Baby Corn,4 Months 0 Days , Male,False,True,True,False,True,False,Domestic Short Hair ,"Cassava and Baby Corn are a delight to have around — they are playful, curious and cuddly. Baby Corn is the adventurer. He loves teasing other animals (cats or dogs), even when they are not too fond of him. It doesn't take much to get him purring — just a simple touch or sitting next to him will get his motor roaring. He adores belly rubs and will throw himself on the floor and give you his belly. Cassava is a bit shyer, but loves attention on his own terms. He enjoys cuddling during bedtime and sleeping close to his person and getting gentle pet. He is a loyal friend who will defend his person and home from dangerous vegetables — beware onions and potatoes! These bonded bffs are good with cats, dogs and children.",2023-01-22 19:13:48+00:00
17575802,https://catcafebk.com/our-cats/?cat=17575802,Castle,7 Years 6 Months , Female,False,True,False,True,False,True,Domestic Short Hair ,"Castle is the sweetest friend to have around the house. She might be a little slow to warm up to you at first, but once you have won her loyalty, this tabby won’t be afraid to follow you around, nudge, and nuzzle you. She will greet you at the door when you come home each day and will meow when she’s hungry or when she wants you to wake up and give her attention. She goes absolutely crazy for chicken treats and will climb onto your lap for one. Castle is independent, explorative, and confident, and a sweet household companion who takes great interest in all that her humans do. She does have some kidney issues, which are currently stable but requires a special food – which, luckily, she loves. Castle would make a great pet for any family. She is very low maintenance and mostly likes to lay in a soft bed and explore when it’s quiet, but she’s even happier when rubbing against her humans and being pet. Castle is in need of an echocardiogram and dental surgery, but we'd be happy to partner with her adopters to ensure that this lady gets the treatment that she needs to be happy and healthy.",2023-01-22 19:13:48+00:00
18109870,https://catcafebk.com/our-cats/?cat=18109870,Connie,1 Year 7 Months , Female,True,False,False,True,False,True,Domestic Short Hair ,"Connie is a total love bug which makes it almost impossible to snap a photo of her as she is constantly coming for head butts and cuddles! She can be a little reserved at first, hiding in the bathroom or finding a spot underneath the bed, but after a few weeks, she will follow you around and demand lots of pats and cuddles. She loves to watch TV with humans and even loves watching ice hockey (for whatever reason she will be glued to the TV and it’s rather funny- we think she’s a Rangers fan!) She enjoys playing with the cat wand and is NUTS for catnip. Overall, she’s very sweet and just wants to hang with the humans! Her little meow when she wants pats is the cutest thing ever. She does occasionally scratch at furniture but is adjusting to the cat post more. She's incredibly playful and if she doesn't have a feline friend, she'll need lots of human interaction.",2023-01-22 19:13:48+00:00
