id,url,name,age,gender,cafe_cat,kid_approved,dog_approved,companion_cat,bonded_pair,single_cat,type,description,system_import_at
18949086,https://catcafebk.com/our-cats/?cat=18949086,Bada & Pow,6 Months 10 Days , Male,False,True,True,False,True,False,Domestic Short Hair ,"Bada and Pow are two adorable, playful brothers. They absolutely love to explore and play with anything and everything. Bada is more cautious and shy and is a sweet sweet soul, while Pow is the explorer and adventurer. Pow does a great job at getting Bada out of his shell and the two can often be found wrestling and chasing one another around the apartment. When not busy exploring, they love pets and cuddles with their humans.",2023-03-13 13:36:56+00:00
19015693,https://catcafebk.com/our-cats/?cat=19015693,Bella & Clara,8 Months 0 Days , Female,False,False,False,False,True,False,Domestic Short Hair ,"Bella and Clara are the sweetest bonded sisters who love curling up together, playing with wand toys, wrestling and exploring every inch of the apartment. Bella is a purr machine and adores attention. She can’t get enough morning pets, night time snuggles and really any opportunity to hang. Clara’s love language is quieter, but once you snuggle her in a blanket or towel, she’s in her happy place. She lives for some behind the ear scratches. Together they are quite a special pair.",2023-03-13 13:36:56+00:00
19048828,https://catcafebk.com/our-cats/?cat=19048828,Benjiro,1 Year 1 Month , Male,False,False,False,False,False,False,Domestic Short Hair ,"Benjiro is a sweet and relaxed black panther who loves belly rubs. His favorite pastimes are napping in the sun (or your lap), scratching at the scratching post (you won’t have issues with your couches with Benjiro!), and eating treats. He loves soft toys and will carry them around in his mouth. He is an incredibly polite cat — while he likes company, he is never obtrusive about attention. He's loyal yet not clingy. Benjiro has fallen in love with the resident cat at his foster home and is looking for a home with a confident, friendly cat looking for a sidekick.",2023-03-13 13:36:56+00:00
19014973,https://catcafebk.com/our-cats/?cat=19014973,Bing & Bang,5 Months 19 Days ,,True,True,True,False,True,False,Domestic Short Hair ,"This gorgeous brother and sister love each other completely. They play continuously and love cuddling up together or with their humans during naps. Bang’s sweet face will make you melt. He loves to lay next to you and get head rubs and pets, rewarding you with non-stop purrs. While more reserved than his sister, her bravery rubs off and helps him out of his shell. Bing is charming and extremely affectionate ways. She loves to lay on your chest, cuddle and give kisses while you watch TV. Bing goes crazy for treats and Bang will patiently wait for his sister to be done to get his turn. She’ll also happily jump into your lap and demand cuddles. They’re super gentle with school age children, other cats and small dogs.",2023-03-13 13:36:56+00:00
18948728,https://catcafebk.com/our-cats/?cat=18948728,Bluto & Popeye,7 Months 19 Days ,,False,False,False,False,True,False,Domestic Short Hair ,"Popeye and Bluto are a beautiful bonded sibling pair. Popeye is a playful and friendly male in a dapper tuxedo. He is very friendly and playful and purrs instantly when you scratch his neck. Bluto is petite with a gorgeous tortoiseshell coat. She is still working on being as brave as her brother, but treats will quickly win her over and she is quick to purr when held. Bluto has come a long way and will definitely continue to come out of her shell with patience and snacks. This sweet pair would do best in a patient and quiet household without children.",2023-03-13 13:36:56+00:00
18989746,https://catcafebk.com/our-cats/?cat=18989746,Brillo,3 Years 1 Month , Male,False,True,True,True,False,True,Domestic Short Hair ,"Brillo is the sweetest, friendliest and most outgoing boy! He will come up to his humans to say hello with a meow and a headbutt and will even plop right down in your lap. He loves to chill and will hang out on the couch or bed and just vibe while his humans watch TV. Brillo adores any feather wand toy and loves swatting and grabbing toys that he can bite. He’s also keen on running around the apartment swatting and chasing toys. He’s a sweet, silly cow with a big personality who loves to eat! Brillo is totally fine around other cats, strangers and would probably even do well in a house with kids.",2023-03-13 13:36:56+00:00
18986895,https://catcafebk.com/our-cats/?cat=18986895,Broomstick & Candelabra,7 Months 11 Days , Male,False,True,True,False,True,False,Domestic Short Hair ,"Are you looking for playful, snuggly, silly kittens? If so, these sweet boys might be your perfect match! Although they can be a little skittish while settling into a new place, Broomstick and Candelabra will transform into rambunctious, snuggly little furbabies as soon as they’re comfortable. Candelabra has earned the nickname “Lawnmower” with his foster family due to how loudly he purrs. He’s also not afraid to speak up, and he will let you know with his squeaky little mew when it’s time to play or give him snuggles (which is often!). At night, once he’s gotten his zoomies out with his brother, he likes to settle in for some snuggles on his foster mom’s legs. Broomstick is a little more shy, but if you’re patient (and generous with Churus, his favorite treats) he’ll be happy to play and accept some pets from you. These boys absolutely adore one another, and it’s so fun to watch them play and snuggle, and so gratifying to be let in on the fun once you’ve earned their trust!",2023-03-13 13:36:56+00:00
18578528,https://catcafebk.com/our-cats/?cat=18578528,Butterhead & Mesclun,10 Months 8 Days , Female,False,True,True,False,True,False,Domestic Short Hair ,"Mesclun and Butterhead are two active sisters who love to wrestle and zoom around the home. After play time, you can catch them snuggling up for a nap in the sun. Butterhead (black & white) will happily greet you at the door after a long day of work. She’ll then bribe you for scritches by stretching out on the floor and flashing her cutest poses. Butterhead can keep herself entertained for hours with a turntable ball toy and plush toys. Don’t mind if Butterhead joins you on a Netflix binge — she particularly enjoys watching football and nature documentaries. Mesclun is a bit more on the mellow side, but that doesn’t stop her sweet personality from shining. She is very curious, so she can typically be found in a box or paperbag that you have lying around. Her favorite activity is chasing a laser toy around the home and finding the best cuddle spots.",2023-03-13 13:36:56+00:00
18986834,https://catcafebk.com/our-cats/?cat=18986834,Carl,10 Years 2 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"Carl is an amazingly sweet boy who absolutely loves people and cuddling up on the couch, bed, chair, or basically anywhere! Carl is fairly relaxed and low maintenance, but he does show a dash of young energy once or twice a day when he loves to play with his humans and/or any toy in sight. If you’re busy, he will also happily play by himself or lay himself down somewhere and watch the day go by from a comfy position, with a lot of naps in between. When it's time for bed, Carl happily trots into the bedroom and plops himself down for the night. He loves to sleep at the foot of the bed, but also is more than happy to sleep in a comfy spot somewhere else in the room. Carl has a heart murmur, but does not need any medication. He is in need of dental surgery.",2023-03-13 13:36:56+00:00
18956052,https://catcafebk.com/our-cats/?cat=18956052,Cassava & Baby Corn,5 Months 19 Days , Male,False,True,True,False,True,False,Domestic Short Hair ,"Cassava and Baby Corn are a delight to have around — they are playful, curious and cuddly. Baby Corn is the adventurer. He loves teasing other animals (cats or dogs), even when they are not too fond of him. It doesn't take much to get him purring — just a simple touch or sitting next to him will get his motor roaring. He adores belly rubs and will throw himself on the floor and give you his belly. Cassava is a bit shyer, but loves attention on his own terms. He enjoys cuddling during bedtime and sleeping close to his person and getting gentle pet. He is a loyal friend who will defend his person and home from dangerous vegetables — beware onions and potatoes! These bonded bffs are good with cats, dogs and children.",2023-03-13 13:36:56+00:00
17575802,https://catcafebk.com/our-cats/?cat=17575802,Castle,7 Years 8 Months , Female,False,True,False,True,False,True,Domestic Short Hair ,"Castle is the sweetest friend to have around the house. She might be a little slow to warm up to you at first, but once you have won her loyalty, this tabby won’t be afraid to follow you around, nudge, and nuzzle you. She will greet you at the door when you come home each day and will meow when she’s hungry or when she wants you to wake up and give her attention. She goes absolutely crazy for chicken treats and will climb onto your lap for one. Castle is independent, explorative, and confident, and a sweet household companion who takes great interest in all that her humans do. She does have some kidney issues, which are currently stable but requires a special food – which, luckily, she loves. Castle would make a great pet for any family. She is very low maintenance and mostly likes to lay in a soft bed and explore when it’s quiet, but she’s even happier when rubbing against her humans and being pet. Castle is in need of an echocardiogram and dental surgery, but we'd be happy to partner with her adopters to ensure that this lady gets the treatment that she needs to be happy and healthy.",2023-03-13 13:36:56+00:00
