cat_id,url_old,cat_name_old,age_old,gender_old,cafe_cat_old,kid_approved_old,dog_approved_old,companion_cat_old,bonded_pair_old,single_cat_old,type_old,description_old,system_import_at_old,url_new,cat_name_new,age_new,gender_new,cafe_cat_new,kid_approved_new,dog_approved_new,companion_cat_new,bonded_pair_new,single_cat_new,type_new,description_new,system_import_at_new,was_url_modified,was_cat_name_modified,was_age_modified,was_gender_modified,was_cafe_cat_modified,was_kid_approved_modified,was_dog_approved_modified,was_companion_cat_modified,was_bonded_pair_modified,was_single_cat_modified,was_type_modified,was_description_modified,was_modified,change_type
18576198,https://catcafebk.com/our-cats/?cat=18576198,Aeon,"10 Years 5 Months "," Female",False,False,False,True,False,True,"Domestic Short Hair ","Aeon is a gorgeous, chatty tortie girl with a big personality! She loves to play with her wand toys, and loves anything crinkly. If you’ve got a shoebox laying around, you can be sure to find her rolling around in it. Aeon loves to initiate pets by rubbing her face on your hand and calling out for you with her sweet voice. She sleeps at the foot of her fosters bed and has just started exploring the world of bedtime cuddles. She is a little particular about pets sometimes, but she will let you know with a gentle “no thank you”. Aeon is a bit timid about loud noises and would do best in a home with a quiet home without children or other pets. She takes a bit of time to come out of her shell, but she is well worth the wait!",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18949108,https://catcafebk.com/our-cats/?cat=18949108,Aioli & Dijon,"4 Months 3 Days ",,False,True,True,False,True,False,"Domestic Short Hair ","Aioli & Dijon are full of zest and zing — whether it’s playing with each other or going wild with a wand toy.  Aioli (brown tabby) is as cute as a button, and even has a brown tabby spot that looks like a belly button. He’s fearless and is always ready to pounce on a new toy and  will always be the first to dig into a meal.  Dijon (grey and white) is slightly shyer, but she will never say no to a churu. She’s a master baker, expertly making biscuits and purring on her bed. Her favorite toy is a ribbon wand toy and she’s not afraid to show her brother who’s boss by hogging the food bowl sometimes.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,row_deleted
18049093,https://catcafebk.com/our-cats/?cat=18049093,Apollo & Artemis,"1 Year 1 Month ",,False,True,True,False,True,False,"Domestic Short Hair / Mixed ","Apollo and Artemis are sweet and sassy teens ready to find their forever home. Apollo, the handsome grey and white tabby fellow, is generous with headbutts, boisterous, chatty and will do just about anything if treats are involved. He is definitely the brawn and swagger of this operation. Sweet Artemis, slightly more petite, black and white girlie with a gorgeous ink spot chin (her favorite skritch zone). While not as gregarious as her brother, Artemis is quite the clever girl and isn't about to let the boys push her around. She likes to carefully observe a situation before diving in. Treats both crunchy and churu tube go a long way in winning her over. They have both recently discovered the delight that is a cat tree and love watching birds and dragon flies from the window. With pink noses and toe beans, these kittens are two wonderful companions, sure to brighten whatever home they find themselves in. The only thing this bonded pair loves more than each other is other cats — they won over their foster's grumpy resident kitty in a matter of days.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,row_deleted
18844592,https://catcafebk.com/our-cats/?cat=18844592,Baby Shark,"9 Months 7 Days "," Female",False,False,False,False,False,False,"Domestic Short Hair ","Baby Shark is a sweet tuxedo who likes taking naps on soft beds, purring during long combing sessions, and swatting at wand toys. She loves scratches under her chin and behind her ears, and will reward you with loud, loving purrs and flashes of her belly. She gets along with other cats in her foster home, but because of her timid personality and sweet disposition, she would thrive in a quiet home where she can get the most care and attention. She is a low-key, trusting kitty that easily adapts to new environments and has a lot of love to give.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18949086,https://catcafebk.com/our-cats/?cat=18949086,Bada & Pow,"4 Months 19 Days "," Male",False,True,True,False,True,False,"Domestic Short Hair ","Bada and Pow are two adorable, playful brothers. They absolutely love to explore and play with anything and everything. Bada is more cautious and shy and is a sweet sweet soul, while Pow is the explorer and adventurer. Pow does a great job at getting Bada out of his shell and the two can often be found wrestling and chasing one another around the apartment. When not busy exploring, they love pets and cuddles with their humans.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18949086,Bada & Pow,"5 Months 24 Days "," Male",False,True,True,False,True,False,"Domestic Short Hair ","Bada and Pow are two adorable, playful brothers. They absolutely love to explore and play with anything and everything. Bada is more cautious and shy and is a sweet sweet soul, while Pow is the explorer and adventurer. Pow does a great job at getting Bada out of his shell and the two can often be found wrestling and chasing one another around the apartment. When not busy exploring, they love pets and cuddles with their humans.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,False,True,row_modified
18948728,https://catcafebk.com/our-cats/?cat=18948728,Bluto & Popeye,"6 Months 0 Days ",,False,False,False,False,True,False,"Domestic Short Hair ","Popeye and Bluto are a very sweet, but shy pair of kittens. Popeye (black and white boy) pretends to be shy, but after he’s picked up and held, he starts to purr and won’t stop. His favorite way to sleep is with his chin resting over one of your arms. Bluto (tortoiseshell girl) can be picked up with no problems and settles into her fosters’ arms instantly. The longer you hold Bluto, the more she droops through your arms. She likes to sleep with her head hanging upside-down!",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18948728,Bluto & Popeye,"7 Months 5 Days ",,False,False,False,False,True,False,"Domestic Short Hair ","Popeye and Bluto are a beautiful bonded sibling pair. Popeye is a playful and friendly male in a dapper tuxedo. He is very friendly and playful and purrs instantly when you scratch his neck. Bluto is petite with a gorgeous tortoiseshell coat. She is still working on being as brave as her brother, but treats will quickly win her over and she is quick to purr when held. Bluto has come a long way and will definitely continue to come out of her shell with patience and snacks. This sweet pair would do best in a patient and quiet household without children.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,True,True,row_modified
17834315,https://catcafebk.com/our-cats/?cat=17834315,Bobsled,"2 Years 10 Months "," Male",False,False,False,False,False,False,"Domestic Short Hair ","Bobsled is turning into quite a spunky lovey gentleman. A tuxedo with white handlebar mustaches from the Bronx, he might look tough but he will melt you with his tiny meow and Puss-in-Boots eyes. Bobsled loves play hunting with the wire wand and toys on ribbons. He will even stalk a yoga mat inched along the ground with your toes! He gets creative -- pretending not to care, or hiding under a chair…and then he strikes! He loves treats and might accidentally scratch if he gets too excited, but he is nothing but love. Bobsled nurses adorably on soft blankets and perches atop boxes. He will sit with you but he's not a lap cat (yet) - he will lounge nearby and send you loving blink kisses. He likes being pet from the shoulders back - he isn't on board with ear scritches yet. Bob is quiet and non-aggressive and might benefit from a mellow similar-age or slightly older feline companion to show him the ropes. He gets agitated when he hears dogs and may not do well with one in the home. He may do well in a home with older children if they can respect his need for space. Bobsled is in need of an echocardiogram due to having a heart murmur and we'd be happy to arrange an appointment at our next rescue clinic.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=17834315,Bobsled,"2 Years 11 Months "," Male",False,True,False,True,False,True,"Domestic Short Hair ","Bobsled is a kind and quirky tuxedo who loves to follow you around while headbutting your legs and purring. This social guy will hang with you as you work from home or cook in the evening. He enjoys pets on the chin, behind the ears and on his back and very much appreciates scritches near the tail. He is happy as a single cat, but also does very well with a companion.",2023-02-27 22:49:46+00:00,False,False,True,False,False,True,False,True,False,True,False,True,True,row_modified
18458507,https://catcafebk.com/our-cats/?cat=18458507,Bonnie & Buddy,"6 Months 16 Days "," Female",False,False,False,False,True,False,"Domestic Short Hair (short coat) ","Buddy and Bonnie are brother and sister kittens. Buddy is very playful and loves to play with toys as well as with his sister. He is a sweet, affectionate boy who loves to eat! He is litter trained and will do well with an experienced pet owner. Bonnie is a sweet girl who loves to cuddle and play with mice and her brother. She is very affectionate, healthy and would do well with an experienced pet owner. She was rescued with her brother and they would like to find a loving home together. Buddy and Bonnie will have their first vet appointment on September 1 when they will receive their first vaccines, microchips and be tested for FIV/FeLV. Adopters will be required to get Buddy and Bonnie neutered and spayed with the assistance of the rescuer. *Courtesy Posting: This cat is being independently offered for adoption by a rescuer who is not a representative of BBAWC or Brooklyn Cat Cafe. The rescuer offering this cat is responsible for the content of this post and any medical records and vaccines. BBAWC and Brooklyn Cat Cafe cannot vouch for any information in this post. An adoption fee will be charged by the rescuer.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18692203,https://catcafebk.com/our-cats/?cat=18692203,Brownie Bite,"6 Years 11 Months "," Male",False,True,False,True,False,True,"Domestic Short Hair ","Brownie Bite is a sweet and fluffy fellow. He loves to play, but will do it in a very relaxed way, often times lying down while attacking the string. He has such a cute, tiny meow that seems out of place for such a big guy! His favorite place to sit is at your feet, begging for love. Brownie Bite is dealing with some health issues that make him limp, but we’re working on getting him back into shape.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18570518,https://catcafebk.com/our-cats/?cat=18570518,Buffy,"2 Years 3 Months "," Female",False,False,False,True,False,True,"Domestic Short Hair ","Buffy is a friendly tabby who enjoys exploring as well as taking long naps. She loves playing with toys, particularly wands and anything else with a string. Buffy will bring you her favorite ball(s) while you are in bed for a good game of fetch. She is comfortable with being picked up, but doesn’t like being held too long. She likes to roam around the home exploring every corner and climbing onto high places (think top of the refrigerator). Buffy is fond of treats, all shapes and sizes, as well as eating her meals on time and she’ll let you know if she’s hungry with some chirps. She seems pretty active and will likely do well in a home where she can get plenty of attention and may enjoy having a feline friend. She would most likely do best in a home with older children as she can still be a bit skittish and nip when scared, but she is making great progress and is a total delight.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
