cat_id,field,value,valid_starting_at,valid_ending_at
18949086,age,5 Months 24 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18948728,age,7 Months 5 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18948728,description,"Popeye and Bluto are a beautiful bonded sibling pair. Popeye is a playful and friendly male in a dapper tuxedo. He is very friendly and playful and purrs instantly when you scratch his neck. Bluto is petite with a gorgeous tortoiseshell coat. She is still working on being as brave as her brother, but treats will quickly win her over and she is quick to purr when held. Bluto has come a long way and will definitely continue to come out of her shell with patience and snacks. This sweet pair would do best in a patient and quiet household without children.",2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
17834315,age,2 Years 11 Months ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
17834315,kid_approved,True,2023-07-08 16:27:17+00:00,
17834315,companion_cat,True,2023-07-08 16:27:17+00:00,
17834315,single_cat,True,2023-07-08 16:27:17+00:00,
17834315,description,"Bobsled is a kind and quirky tuxedo who loves to follow you around while headbutting your legs and purring. This social guy will hang with you as you work from home or cook in the evening. He enjoys pets on the chin, behind the ears and on his back and very much appreciates scritches near the tail. He is happy as a single cat, but also does very well with a companion.",2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18578528,age,9 Months 22 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18578528,description,"Mesclun and Butterhead are two active sisters who love to wrestle and zoom around the home. After play time, you can catch them snuggling up for a nap in the sun. Butterhead (black & white) will happily greet you at the door after a long day of work. She’ll then bribe you for scritches by stretching out on the floor and flashing her cutest poses. Butterhead can keep herself entertained for hours with a turntable ball toy and plush toys. Don’t mind if Butterhead joins you on a Netflix binge — she particularly enjoys watching football and nature documentaries. Mesclun is a bit more on the mellow side, but that doesn’t stop her sweet personality from shining. She is very curious, so she can typically be found in a box or paperbag that you have lying around. Her favorite activity is chasing a laser toy around the home and finding the best cuddle spots.",2023-07-08 16:27:17+00:00,
18956052,cat_name,Cassava & Baby Corn,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18956052,age,5 Months 5 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
17575802,age,7 Years 8 Months ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18666870,age,1 Year 7 Months ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18928108,age,6 Months 26 Days ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
18576182,age,4 Years 10 Months ,2023-07-08 16:27:17+00:00,2023-07-08 17:09:22+00:00
