cat_id,url,cat_name,age,gender,cafe_cat,kid_approved,dog_approved,companion_cat,bonded_pair,single_cat,type,description,system_import_at
19381074,https://catcafebk.com/our-cats/?cat=19381074,Adventureland & Epcot,3 Months 1 Day ,,False,False,False,False,True,False,Domestic Short Hair ,"Adventureland is a total cuddly black and white tuxedo cutie! Adventureland loves snuggles, mealtime, and whatever Epcot has, in that order. He is quick to warm up and wants to be by your side no matter what—scrolling through Instagram? Him, too. Cleaning the bathroom? He will supervise. He will let you know when it is time to eat. He plays hard and naps harder. A lovebug through and through, you will fall in love with his big purr. Epcot is a gray and white girlie, Epcot loves to do her own thing in her own time. She is slower to warm up than her brother but will gladly accept toys and treats until she’s ready to cuddle up. When it is time to rest, she wants the spot next to you. She loves toy mice, cardboard boxes, and strings. Epcot enjoys playing with toys, Churu, and whatever Adventureland is playing with. Both kitties love to snuggle with each other for naps and with you overnight! Epcot is a little skittish and relies on Adventureland to let her know when things are okay. These two kittens love to play and they love attention. These two cats are bonded and must be adopted together -- applications for just one of them will not be processed. Please note that they may not yet be spayed/neutered -- their adoption fee may be higher to cover their surgeries.",2023-07-08 17:41:14+00:00
19452563,https://catcafebk.com/our-cats/?cat=19452563,Aegon & Rhaenyra,3 Months 25 Days ,,False,False,False,False,True,False,Domestic Short Hair (short coat) ,"Introducing Rhaenyra and Aegon: the dynamic duo of kitten cuteness! Rhaenyra is a remarkably agile bundle of energy. With her tail perpetually standing tall, she'll keep herself entertained for hours as she pounces, chases, and engages in epic battles with her favorite toy jellyfish. Aegon, Rhaenyra's brother, is the perfect balance to her playful nature. While he shares her love for excitement, he approaches new experiences with a touch more caution (though he is adorably curious). Aegon absolutely loves belly rubs, and you'll often find him rolling over for some well-deserved pampering. When it's time to unwind, both kittens will happily join you on the couch, cuddling up for a cozy evening of TV watching. Rhaenyra and Aegon are not only the best of friends, but they also effortlessly extend their playful and affectionate nature to other cats. They will be a perfect addition to your home as a solo pair or as new members of your multi-cat household. In addition to their fun lil personalities, Rhaenyra and Aegon are exceptionally well-behaved kittens. They've mastered the art of keeping their claws and teeth to themselves – you won't have to worry about them scratching your furniture or nipping you. If you’re looking for a duo that will turn your living room into a playground of hilarity and your lap into the Iron Throne of Snuggles, these two are for you.",2023-07-08 17:41:14+00:00
17351058,https://catcafebk.com/our-cats/?cat=17351058,Angelo,6 Years 8 Months , Male,True,True,True,True,False,True,Domestic Short Hair ,"Angelo loves you already and hasn't even met you yet! This cat is truly the life of the party. From the moment he landed in his foster home, he's been nothing but purrs and leg rubs and face rubs and nose bumps and snuggles. His hefty brow and chubby cheeks may give him the illusion of a grouchy disposition, but don't let that fool you! He's almost always purring and thinks hanging with humans is the absolute best so be prepared to give him a lot of attention. Angelo doesn't really notice or mind other cats or dogs, his main passion is humans, and he will declare it to you with all the Italian passion implied by his name. If you want a social, attention-loving, and authoritative feline friend, Angelo is the cat for you! Angelo is FIV+ and will live a normal healthy and long life when provided with quality care such as a balanced diet and yearly wellness exams (like any cat). As FIV+ is not transmittable between neutered/spayed cats under normal circumstances, we are happy for FIV+ cats to mingle with FIV- cats in their adoptive homes.",2023-07-08 17:41:14+00:00
19130200,https://catcafebk.com/our-cats/?cat=19130200,Annie Ernaux,1 Year 9 Months , Female,False,False,False,False,False,False,Domestic Short Hair ,"Like her namesake, Annie Ernaux is analytical and introspective. While mostly (or completely) blind, she is curious and playful. While wary of new people, she can be won over with patience and treats — you’ve never met a sweeter cat around mealtime. Annie loves to play and would be happiest in a home with a young and energetic feline friend.",2023-07-08 17:41:14+00:00
19453314,https://catcafebk.com/our-cats/?cat=19453314,Awassi & Polypay,3 Months 19 Days ,,False,False,False,False,True,False,Domestic Short Hair ,"Awassi and Polypay are two peas in a pod! They both absolutely love to be pet, purr up a storm, and are incredibly playful in the best way. Their favorite toys are a little mouse on a string and springs because they get to chase them all over the apartment! Both of them are also really great with visitors, have respectable litter box habits, and are not easily startled by loud noises like a vacuum. Polypay is such a sweet boy - he is a lover and not a fighter. When he gets tired he likes a good snuggle. On the other hand, Awassi is adventurous and always explores new items that are brought into the apartment. He loves to play for longer periods of time and then enjoy a nice nap. These two chill and confident kittens are ready to find their forever home together!",2023-07-08 17:41:14+00:00
19140983,https://catcafebk.com/our-cats/?cat=19140983,Ayka & Myka,8 Months 13 Days , Female,False,True,True,False,True,False,Domestic Short Hair ,"Sister Ayka and Myka love to cuddle and will use you as their body pillow. They’re very curious as and play with each other and any toy (or not even a toy) they can get their paws on. Sometimes they have boxing matches between each other and have no issues jumping very high if it means play time. They are good with other cats, even if that friendliness is not reciprocated.",2023-07-08 17:41:14+00:00
19381172,https://catcafebk.com/our-cats/?cat=19381172,Batman,7 Years 3 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"Batman is the loveliest gray gentleman! Though slow to warm at first, he has come out of his shell and proved that there is nothing he loves more than human company. Batman is always searching for a lap to snuggle up on or a friendly hand for head scratches. His favorite place to sleep is in bed next to his human! Batman is outgoing and chatty, but still startles easily, and would probably be happy in a relatively calm household. He enjoys playtime but more than anything just likes to chill by his human’s side and be loved on. Please consider adopting this angel boy! He has had a tough go of it and deserves a peaceful and loving home to spend his days in.",2023-07-08 17:41:14+00:00
19304906,https://catcafebk.com/our-cats/?cat=19304906,Bean,2 Years 0 Months , Male,True,False,False,False,False,False,Domestic Short Hair ,"Bean is a tall gentleman with dreamy amber eyes who will offer his belly for rubs with gentle chirps-n-purrs as his greeting. This tabby loves to explore on his own or with you as his trusty companion. He is yet to find a toy that does not pique his interest, however his current interest is balls and chaseable things. While he loves to play, Bean is equally happy to relax and just enjoy being in your company.",2023-07-08 17:41:14+00:00
19336022,https://catcafebk.com/our-cats/?cat=19336022,Bean-Sack Sackman,11 Months 5 Days , Male,False,False,False,False,False,False,Domestic Short Hair ,"Bean-sack Sackman (nicknamed Mr. Beans in our household) is an adorable 9 month old mini panther who loves cuddles and playing fetch. While shy at first, once Bean-sack Sackman realizes pets and cuddles are on offer, he’ll be your best pal. He will park himself on your lap in order to get better ear rubs and tail scritches. He enjoys playing fetch, particularly with toilet paper rolls or small shiny cat toys. He is also a world class climber and no window sill is safe when he decides he wants to bird watch. Bean-sack Sackman is friendly with other cats and would make an excellent playful companion for another cat or group of cats.",2023-07-08 17:41:14+00:00
19133432,https://catcafebk.com/our-cats/?cat=19133432,Bear,9 Years 1 Month , Female,True,False,False,False,False,False,Domestic Long Hair ,"Bear is a fluffy monster who loves other cats. She is shy around humans, but adores scritches when she feels safe. While she loves food, she is also incredibly smart so not very easy to bribe. She would make a great companion for a brave cat looking for a sidekick and a human with patience. She’s also willing to work as a swiffer to clean under your couch.",2023-07-08 17:41:14+00:00
